"SampleID","SiteID","PlotID","TreeID","Position","newring","year","RW","EWW","LWW","distToMin","RD","minD","MXD","EWD","LWD","funkring"
"TW-1-146-1","TW","1","1-146","1",78,1997,1.50000000000001,1.14999999999999,0.350000000000003,0.42,493.679733333333,372.48,646.69,457.908347826087,611.214285714286,0
"TW-1-146-1","TW","1","1-146","1",79,1998,1.54999999999999,1.19000000000001,0.359999999999994,0.51,456.492258064516,351.61,573.94,438.994369747899,514.3325,0
"TW-1-146-1","TW","1","1-146","1",80,1999,1.44000000000001,1.15000000000001,0.290000000000001,0.46,412.434236111111,320.91,528.86,391.600695652174,495.05,0
"TW-1-146-1","TW","1","1-146","1",81,2000,0.51,0.499999999999981,0,0.45,488.672156862745,461.11,522.88,488.629,490.83,0
"TW-1-146-1","TW","1","1-146","1",82,2001,1.26,0.809999999999983,0.449999999999998,0.45,462.008015873016,367.22,544.23,431.874938271605,516.247555555556,0
"TW-1-146-1","TW","1","1-146","1",83,2002,0,0,0,NA,NA,NA,NA,NA,NA,0
"TW-1-146-1","TW","1","1-146","1",84,2003,1.56000000000001,1.26999999999999,0.290000000000001,0.46,402.054102564103,283.09,539.39,380.015275590551,498.568965517241,0
"TW-1-146-1","TW","1","1-146","1",85,2004,1.39,1.10999999999999,0.279999999999982,0.62,430.083021582734,344.35,533.07,410.837657657658,506.377142857143,0
"TW-1-146-1","TW","1","1-146","1",86,2005,1.62999999999998,1.34999999999997,0.279999999999982,0.96,407.07282208589,341.05,495.33,399.141259259259,445.314285714286,0
"TW-1-146-1","TW","1","1-146","1",87,2006,1.21999999999998,0.639999999999995,0.579999999999993,0.47,393.599098360656,337.84,449.35,381.82390625,406.592413793103,0
"TW-1-146-1","TW","1","1-146","1",88,2007,0.679999999999988,0.600000000000003,0.0799999999999932,0.24,414.214117647059,340.87,535.67,400.218166666667,519.18375,0
"TW-1-146-1","TW","1","1-146","1",89,2008,0.319999999999974,0.319999999999974,0,0.3,520.955,484.01,548.37,520.955,NA,0
"TW-1-146-1","TW","1","1-146","1",90,2009,1.46999999999998,1.2,0.269999999999991,0.93,433.182176870748,315.37,507.22,429.0415,451.585185185185,0
"TW-1-146-1","TW","1","1-146","1",91,2010,0.809999999999983,0.639999999999995,0.169999999999997,0.25,402.231111111111,322.77,500.43,379.91390625,486.248823529412,0
"TW-1-146-1","TW","1","1-146","1",92,2011,1.17,0.96999999999998,0.199999999999998,0.31,452.693504273504,347.93,609.86,424.939690721649,587.2995,0
"TW-1-146-1","TW","1","1-146","1",93,2012,1.44000000000001,1.16000000000001,0.28000000000001,0.75,451.809444444444,343.9,611.54,419.7325,584.699642857143,0
"TW-1-146-1","TW","1","1-146","1",94,2013,0.600000000000003,0.520000000000019,0.0799999999999932,0.38,497.4475,448.31,556.07,494.509230769231,516.54625,0
"TW-1-146-1","TW","1","1-146","1",95,2014,1.09000000000001,0.720000000000008,0.370000000000014,0.52,442.804036697248,376.22,503.18,441.035,446.246486486487,0
"TW-1-146-1","TW","1","1-146","1",96,2015,0.650000000000015,0.419999999999997,0.229999999999999,0.18,439.217692307692,357.73,514.63,413.060476190476,486.983043478261,0
"TW-1-146-1","TW","1","1-146","1",97,2016,1.00000000000001,0.720000000000008,0.28000000000001,0.31,395.4167,310.81,461.3,377.942916666667,440.349285714286,0
"TW-1-146-1","TW","1","1-146","1",98,2017,0.169999999999997,0.169999999999997,0,0.16,375.675882352941,310.11,430.51,375.675882352941,NA,0
"TW-1-146-2","TW","1","1-146","2",1,1932,2.33,1.6,0.73,0,464.384463519313,96.6,588.6,429.136,541.641369863014,0
"TW-1-146-2","TW","1","1-146","2",2,1933,2.06,1.91,0.15,0.86,454.555970873786,392.89,542.57,449.944293193717,513.278,0
"TW-1-146-2","TW","1","1-146","2",3,1934,2.53,2.33,0.2,1.57,419.056640316206,341.07,564.85,408.647982832618,540.3175,0
"TW-1-146-2","TW","1","1-146","2",4,1935,2.59,2.28,0.309999999999999,1.65,424.220694980695,333.19,595.25,406.420614035088,555.137419354839,0
"TW-1-146-2","TW","1","1-146","2",5,1936,2.87,2.39,0.480000000000001,1.51,424.807804878049,299.06,638.56,389.366820083682,601.274375,0
"TW-1-146-2","TW","1","1-146","2",6,1937,3.62,3.32,0.299999999999999,2.23,416.151160220994,327.15,617.66,400.468674698795,589.704,0
"TW-1-146-2","TW","1","1-146","2",7,1938,2.37,2.2,0.17,1.22,440.497637130802,370.67,611.43,429.872545454545,577.998823529412,0
