site,species,stand,stand_old,plot,treatment,tree,dbh_in,ht,hcb,velocity,tree_ba,cr,ba_plot,ba_all,ba_plot_PP,ba
FT,PIPO,4,12,3,120,9,7.8,NA,NA,3.524,0.33182136,NA,181.1104326,146.4482628,181.1104326,146.4482628
FT,PIPO,4,12,3,120,5,9.6,NA,NA,3.537,0.50264064,NA,181.1104326,146.4482628,181.1104326,146.4482628
FT,PIPO,4,12,3,120,11,14,NA,NA,3.568,1.068984,NA,181.1104326,146.4482628,181.1104326,146.4482628
FT,PIPO,4,12,3,120,12,10.7,NA,NA,3.596,0.62442846,NA,181.1104326,146.4482628,181.1104326,146.4482628
FT,PIPO,4,12,3,120,4,8.4,NA,NA,3.654,0.38483424,NA,181.1104326,146.4482628,181.1104326,146.4482628
FT,PIPO,4,12,3,120,3,12.5,NA,NA,3.697,0.8521875,NA,181.1104326,146.4482628,181.1104326,146.4482628
FT,PIPO,4,12,3,120,15,10.2,28.7,11.1,3.699,0.56743416,0.613240418,181.1104326,146.4482628,181.1104326,146.4482628
FT,PIPO,4,12,3,120,25,8.8,NA,NA,3.729,0.42235776,NA,181.1104326,146.4482628,181.1104326,146.4482628
FT,PIPO,4,12,3,120,6,9.3,NA,NA,3.749,0.47171646,NA,181.1104326,146.4482628,181.1104326,146.4482628
FT,PIPO,4,12,3,120,22,14.3,60.3,20.6,3.791,1.11528846,0.658374793,181.1104326,146.4482628,181.1104326,146.4482628
FT,PIPO,4,12,3,120,13,7.6,NA,NA,3.809,0.31502304,NA,181.1104326,146.4482628,181.1104326,146.4482628
FT,PIPO,4,12,3,120,10,6.8,NA,NA,3.84,0.25219296,NA,181.1104326,146.4482628,181.1104326,146.4482628
FT,PIPO,4,12,3,120,35,10.4,NA,NA,3.844,0.58990464,NA,181.1104326,146.4482628,181.1104326,146.4482628
FT,PIPO,4,12,3,120,7,8.8,NA,NA,3.862,0.42235776,NA,181.1104326,146.4482628,181.1104326,146.4482628
FT,PIPO,4,12,3,120,18,7.5,NA,NA,3.884,0.3067875,NA,181.1104326,146.4482628,181.1104326,146.4482628
FT,PIPO,4,12,3,120,19,10.8,NA,NA,3.92,0.63615456,NA,181.1104326,146.4482628,181.1104326,146.4482628
FT,PIPO,4,12,3,120,1,10,40.8,19.2,3.934,0.5454,0.529411765,181.1104326,146.4482628,181.1104326,146.4482628
FT,PIPO,4,12,3,120,34,8.7,NA,NA,3.954,0.41281326,NA,181.1104326,146.4482628,181.1104326,146.4482628
FT,PIPO,4,12,3,120,2,7,37.8,25.4,4.02,0.267246,0.328042328,181.1104326,146.4482628,181.1104326,146.4482628
FT,PIPO,4,12,3,120,29,9.4,44.3,18.4,4.025,0.48191544,0.584650113,181.1104326,146.4482628,181.1104326,146.4482628
FT,PIPO,4,12,3,120,30,8.7,NA,NA,4.061,0.41281326,NA,181.1104326,146.4482628,181.1104326,146.4482628
FT,PIPO,4,12,3,120,28,13,NA,NA,4.117,0.921726,NA,181.1104326,146.4482628,181.1104326,146.4482628
FT,PIPO,4,12,3,120,24,9.8,NA,NA,5.824,0.52380216,NA,181.1104326,146.4482628,181.1104326,146.4482628
FT,PIPO,5,22,1,120,10,13.2,NA,NA,3.508,0.95030496,NA,129.6050382,114.619446,129.6050382,114.619446
FT,PIPO,5,22,1,120,11,17.9,NA,NA,3.588,1.74751614,NA,129.6050382,114.619446,129.6050382,114.619446
FT,PIPO,5,22,1,120,4,7.8,NA,NA,3.653,0.33182136,NA,129.6050382,114.619446,129.6050382,114.619446
FT,PIPO,5,22,1,120,8,15.1,NA,NA,3.752,1.24356654,NA,129.6050382,114.619446,129.6050382,114.619446
FT,PIPO,5,22,1,120,3,17,NA,NA,3.764,1.576206,NA,129.6050382,114.619446,129.6050382,114.619446
FT,PIPO,5,22,1,120,5,14,NA,NA,3.797,1.068984,NA,129.6050382,114.619446,129.6050382,114.619446
FT,PIPO,5,22,1,120,12,17.1,NA,NA,3.93,1.59480414,NA,129.6050382,114.619446,129.6050382,114.619446
FT,PIPO,5,22,1,120,9,14.1,NA,NA,4.016,1.08430974,NA,129.6050382,114.619446,129.6050382,114.619446
FT,PIPO,5,22,1,120,6,11.4,NA,NA,4.179,0.70880184,NA,129.6050382,114.619446,129.6050382,114.619446
FT,PIPO,5,22,1,120,1,14.6,NA,NA,4.33,1.16257464,NA,129.6050382,114.619446,129.6050382,114.619446
FT,PIPO,5,22,1,120,2,12.1,NA,NA,4.366,0.79852014,NA,129.6050382,114.619446,129.6050382,114.619446
FT,PIPO,5,22,1,120,7,10.2,NA,NA,4.378,0.56743416,NA,129.6050382,114.619446,129.6050382,114.619446
FT,PIPO,5,22,2,120,5,15.9,46.8,14.5,3.282,1.37882574,0.69017094,110.0219058,114.619446,110.0219058,114.619446
FT,PIPO,5,22,2,120,4,17.2,67.7,29.7,3.531,1.61351136,0.561299852,110.0219058,114.619446,110.0219058,114.619446
FT,PIPO,5,22,2,120,2,14,60.9,38.1,3.561,1.068984,0.374384236,110.0219058,114.619446,110.0219058,114.619446
FT,PIPO,5,22,2,120,6,14.3,65.1,30.7,3.754,1.11528846,0.528417819,110.0219058,114.619446,110.0219058,114.619446
FT,PIPO,5,22,2,120,9,17.5,NA,NA,3.949,1.6702875,NA,110.0219058,114.619446,110.0219058,114.619446
FT,PIPO,5,22,2,120,10,15.4,57,18.1,3.993,1.29347064,0.68245614,110.0219058,114.619446,110.0219058,114.619446
FT,PIPO,5,22,2,120,8,14.2,65,26.9,4.018,1.09974456,0.586153846,110.0219058,114.619446,110.0219058,114.619446
FT,PIPO,5,22,2,120,3,13.2,69.7,41.5,4.184,0.95030496,0.404591105,110.0219058,114.619446,110.0219058,114.619446
FT,PIPO,5,22,2,120,1,12.2,62.1,10.9,4.452,0.81177336,0.824476651,110.0219058,114.619446,110.0219058,114.619446
FT,PIPO,5,22,3,120,10,13.5,NA,NA,2.664,0.9939915,NA,104.231394,114.619446,104.231394,114.619446
FT,PIPO,5,22,3,120,3,16.3,NA,NA,3.521,1.44907326,NA,104.231394,114.619446,104.231394,114.619446
FT,PIPO,5,22,3,120,2,10.9,55.8,15.1,3.617,0.64798974,0.729390681,104.231394,114.619446,104.231394,114.619446
FT,PIPO,5,22,3,120,1,10.4,45.4,21,3.838,0.58990464,0.537444934,104.231394,114.619446,104.231394,114.619446
FT,PIPO,5,22,3,120,11,12.5,NA,NA,3.859,0.8521875,NA,104.231394,114.619446,104.231394,114.619446
FT,PIPO,5,22,3,120,4,14.6,58.3,30.9,3.937,1.16257464,0.469982847,104.231394,114.619446,104.231394,114.619446
FT,PIPO,5,22,3,120,6,12.2,65.1,37.4,3.962,0.81177336,0.425499232,104.231394,114.619446,104.231394,114.619446
FT,PIPO,5,22,3,120,7,10.8,NA,NA,3.965,0.63615456,NA,104.231394,114.619446,104.231394,114.619446
FT,PIPO,5,22,3,120,5,15.9,69.8,36.8,4.075,1.37882574,0.47277937,104.231394,114.619446,104.231394,114.619446
FT,PIPO,5,22,3,120,9,12,68.6,36.1,4.095,0.785376,0.473760933,104.231394,114.619446,104.231394,114.619446
FT,PIPO,5,22,3,120,8,14.3,65.8,38.1,4.252,1.11528846,0.420972644,104.231394,114.619446,104.231394,114.619446
FT,PIPO,6,8,1,80,5,7,30.6,5.5,2.098,0.267246,0.820261438,35.1199422,87.2572734,35.1199422,87.2572734
FT,PIPO,6,8,1,80,1,5.9,28.8,12.2,3.284,0.18985374,0.576388889,35.1199422,87.2572734,35.1199422,87.2572734
FT,PIPO,6,8,1,80,3,17,61,21.8,3.591,1.576206,0.642622951,35.1199422,87.2572734,35.1199422,87.2572734
FT,PIPO,6,8,1,80,2,12.6,50.1,20.2,3.605,0.86587704,0.596806387,35.1199422,87.2572734,35.1199422,87.2572734
FT,PIPO,6,8,1,80,4,10.6,49.5,23.2,3.698,0.61281144,0.531313131,35.1199422,87.2572734,35.1199422,87.2572734
FT,PIPO,6,8,2,80,2,8.7,51.4,13.5,2.452,0.41281326,0.737354086,73.530828,87.2572734,73.530828,87.2572734
FT,PIPO,6,8,2,80,1,17.7,55.3,18,3.062,1.70868366,0.674502712,73.530828,87.2572734,73.530828,87.2572734
FT,PIPO,6,8,2,80,6,15.2,53.2,24.7,3.213,1.26009216,0.535714286,73.530828,87.2572734,73.530828,87.2572734
FT,PIPO,6,8,2,80,3,6.6,38.4,12.6,3.221,0.23757624,0.671875,73.530828,87.2572734,73.530828,87.2572734
FT,PIPO,6,8,2,80,7,13.7,NA,NA,3.426,1.02366126,NA,73.530828,87.2572734,73.530828,87.2572734
FT,PIPO,6,8,2,80,4,12.8,51.5,27.8,3.648,0.89358336,0.460194175,73.530828,87.2572734,73.530828,87.2572734
FT,PIPO,6,8,2,80,5,16.5,62.8,38.5,3.848,1.4848515,0.386942675,73.530828,87.2572734,73.530828,87.2572734
FT,PIPO,6,8,2,80,8,7.8,37.7,10.9,4.085,0.33182136,0.710875332,73.530828,87.2572734,73.530828,87.2572734
FT,PIPO,6,8,3,80,11,6.6,NA,NA,2.352,0.23757624,NA,153.12105,87.2572734,153.12105,87.2572734
FT,PIPO,6,8,3,80,14,6.6,NA,NA,2.382,0.23757624,NA,153.12105,87.2572734,153.12105,87.2572734
