SampleID,Density
TW-7-93-1,484.8283016
TW-7-93-2,426.8337017
TW-7-93-3,434.1579228
TW-7-93-4,424.1020468
TW-7-93-4.5,462.6078297
TW-7-93-5,434.5120111
TW-7-93-6,435.9579011
TW-7-98-1,509.4477503
TW-7-98-2,438.0580612
TW-7-98-3,562.7353249
TW-7-98-4,440.7748077
TW-7-98-4.5,489.3603148
TW-7-98-5,443.2736857
TW-7-98-6,438.9926902
TW-7-98-7,461.388508
TW-7-98-8,495.1964091
TW-8-439-1,451.5616761
TW-8-439-2,438.3990766
TW-8-439-3,394.5692619
TW-8-439-4,406.3335376
TW-8-439-4.5,432.7843733
TW-8-439-5,412.503845
TW-8-576-1,495.7183562
TW-8-576-2,432.6588573
TW-8-576-3,401.6359632
TW-8-576-4,416.8745155
TW-8-576-4.5,441.9628922
TW-8-576-5,408.0013997
TW-8-576-6,463.3410179
TW-8-657-1,429.4350777
TW-8-657-2,413.4782989
TW-8-657-3,386.1098527
TW-8-657-4,364.6196511
TW-8-657-4.5,479.2676617
TW-8-657-5,366.4565286
TW-8-657-6,373.2973118
TW-9-103-1,524.1305663
TW-9-103-2,478.6881411
TW-9-103-3,469.4513597
TW-9-103-4,448.2990443
TW-9-103-4.5,543.1445245
TW-9-103-5,436.805096
TW-9-103-6,503.2528453
TW-9-103-7,428.7771076
TW-9-288-1,500.917015
TW-9-288-2,419.6481149
TW-9-288-3,434.1462796
TW-9-288-4,411.7789662
TW-9-288-4.5,452.2501634
TW-9-288-5,383.9541303
TW-9-288-6,397.8081486
TW-9-288-7,411.6178055
TW-9-288-8,443.2479708
TW-9-317-1,443.6805128
TW-9-317-2,418.4695438
TW-9-317-3,420.9543949
TW-9-317-4,450.5133205
TW-9-317-4.5,429.8165939
TW-9-317-5,401.5223782
TW-9-317-6,423.1859737
TW-9-317-7,434.5219949
