standtree, Y2002, Y1996,Y1956,Y1951
TW-9-317-2,1,0,0,0
TW-9-317-3,1,0,0,0
TW-9-317-5,0,0,0,0
TW-9-317-6,0,0,0,0
TW-9-317-7,0,0,0,0
TW-9-317-45,1,0,0,0
TW-10-187-1,1,0,0,0
TW-10-187-2,1,0,0,0
TW-10-187-3,1,0,0,0
TW-10-187-4,1,0,0,0
TW-10-187-5,0,0,0,0
TW-10-187-6,1,0,0,0
TW-10-187-45,1,0,0,0
TW-10-367-1,1,0,0,0
TW-10-367-2,1,0,0,0
TW-10-367-3,1,0,0,0
TW-10-367-4,1,0,0,0
TW-10-367-5,1,0,0,0
TW-10-367-6,1,0,0,0
TW-10-367-45,1,0,0,0
TW-10-391-1,1,0,0,0
TW-10-391-2,1,0,0,0
TW-10-391-3,1,0,0,0
TW-10-391-4,1,0,0,0
TW-10-391-5,1,0,0,0
TW-10-391-6,0,0,0,0
TW-10-391-45,1,0,0,0
TW-11-60-1,0,0,0,0
TW-11-60-2,0,0,0,0
TW-11-60-3,1,0,0,0
TW-11-60-4,1,0,0,0
TW-11-60-5,0,0,0,0
TW-11-60-6,0,0,0,0
TW-11-60-7,0,0,0,0
TW-11-60-8,0,0,0,0
TW-11-60-45,0,0,0,0
TW-11-73-1,1,0,0,0
TW-11-73-2,1,0,0,0
TW-11-73-3,1,0,0,0
TW-11-73-4,1,0,0,0
TW-11-73-5,1,0,0,0
TW-11-73-6,0,0,0,0
TW-11-73-45,1,0,0,0
TW-11-185-1,1,0,0,0
TW-11-185-2,1,0,0,0
TW-11-185-3,1,0,0,0
TW-11-185-4,1,0,0,0
TW-11-185-5,1,0,0,0
TW-11-185-6,1,0,0,0
TW-11-185-7,1,0,0,0
TW-11-185-45,1,1,0,0
TW-12-21-1,1,0,0,0
TW-12-21-2,1,0,0,0
TW-12-21-3,1,0,0,0
TW-12-21-4,1,0,0,0
TW-12-21-5,1,0,0,0
TW-12-21-6,1,0,0,0
TW-12-21-7,1,0,0,0
TW-12-21-8,1,0,0,0
TW-12-21-45,1,0,0,0
TW-12-238-1,1,0,0,0
TW-12-238-2,1,0,0,0
TW-12-238-3,1,0,0,0
TW-12-238-4,1,0,0,0
TW-12-238-5,0,0,0,0
TW-12-238-6,1,0,0,0
TW-12-238-45,1,0,0,0
TW-12-296-1,0,0,0,0
TW-12-296-2,1,0,0,0
TW-12-296-3,1,0,0,0
TW-12-296-4,1,0,0,0
TW-12-296-5,1,0,0,0
TW-12-296-6,1,0,0,0
TW-12-296-7,1,0,0,0
TW-12-296-45,1,0,0,0
TW-13-94-1,1,0,0,0
TW-13-94-2,1,0,0,0
TW-13-94-3,1,0,0,0
TW-13-94-4,0,0,0,0
TW-13-94-5,0,0,0,0
TW-13-94-6,1,0,0,0
TW-13-94-45,1,0,0,0
TW-13-133-1,1,0,0,0
TW-13-133-2,1,0,0,0
TW-13-133-3,1,0,0,0
TW-13-133-4,1,0,0,0
TW-13-133-5,0,0,0,0
TW-13-133-6,1,0,0,0
TW-13-133-45,1,0,0,0
TW-13-176-1,1,0,0,0
TW-13-176-2,1,0,0,0
TW-13-176-3,1,0,0,0
TW-13-176-4,1,0,0,0
TW-13-176-5,1,0,0,0
TW-13-176-6,0,0,0,0
TW-13-176-45,1,0,0,0
TW-14-189-1,1,0,0,0
TW-14-189-2,1,0,0,0
TW-14-189-3,1,0,0,0
TW-14-189-4,0,0,0,0
TW-14-189-5,0,0,0,0
TW-14-189-6,0,0,0,0
TW-14-189-7,0,0,0,0
TW-14-189-8,0,0,0,0
TW-14-189-45,1,0,0,0
TW-14-212-1,0,0,0,0
