standtree,maxyear
TW-7-98-7,2017
TW-7-98-8,2017
TW-8-439-1,2017
TW-8-439-2,2017
TW-8-439-3,2017
TW-8-439-4,2017
TW-8-439-45,2017
TW-8-439-5,2015
TW-8-576-1,2017
TW-8-576-2,2017
TW-8-576-3,2017
TW-8-576-4,2017
TW-8-576-45,2017
TW-8-576-5,2017
TW-8-576-6,2017
TW-8-657-1,2017
TW-8-657-2,2017
TW-8-657-3,2017
TW-8-657-4,2017
TW-8-657-45,2017
TW-8-657-5,2017
TW-8-657-6,2017
TW-9-103-1,2017
TW-9-103-2,2017
TW-9-103-3,2017
TW-9-103-4,2017
TW-9-103-45,2017
TW-9-103-5,2017
TW-9-103-6,2017
TW-9-103-7,2017
TW-9-228-1,2017
TW-9-228-2,2017
TW-9-228-3,2017
TW-9-228-4,2017
TW-9-228-45,2017
TW-9-228-5,2017
TW-9-228-6,2017
TW-9-228-7,2017
TW-9-228-8,2017
TW-9-317-1,2017
TW-9-317-2,2017
TW-9-317-3,2017
TW-9-317-45,2017
TW-9-317-5,2017
TW-9-317-6,2017
TW-9-317-7,2017
