"TestID","SampleID","SiteID","PlotID","TreeID","Blank.Num","Failure","Drop","Quality","Velocity","MOR","MOE","MC","Dens","Ring","RPI","MOEd","Pith.Dist","Tree.Vel","CrownRatio","DBH","BA","GSL","Length","Width","Depth","WeightFullPiece","WeightAfterTest","WeightOD","Max.Load","PPL.Limit","PPL.Distance","Flitch.Max.Ring","Blank.Min.Ring","Blank.Max.Ring","Clear.Adj","HT","CBH","HT.2016","DBH.2016"
140,"TW-13-133-1","TW","13","13-133",1,5,"N",4,4740,16.2405779856349,2.98370435529488,11.0058475319093,0.72606516705541,4,5.81818181818182,16312.9417473341,0.6875,4.02,0.216446367026615,11.3,113.5882764,100,16,1.002,0.978,184.899,184.898,166.566,107.5,107.5,0.18,91,0,8,0.95,47.09313880656,36.9,62,11.7716535433071
136,"TW-13-133-2","TW","13","13-133",2,2,"N",2,4390,69.7201546933786,7.16133599545207,10.5718254755762,0.450729996663483,25.5,22.5454545454545,8686.51356869832,2.0625,4.02,0.216446367026615,11.3,113.5882764,100,16,1.005,0.998,117.021,117.006,105.819,482,236,0.1538,91,10,41,0.95,47.09313880656,36.9,62,11.7716535433071
138,"TW-13-133-3","TW","13","13-133",3,2,"N",3,5338,81.6527226022512,8.99247730834785,10.5894938134863,0.492217265749016,53.5,15.2727272727273,14025.3588712653,3.4375,4.02,0.216446367026615,11.3,113.5882764,100,15.989,0.999,0.997,126.835,116.819,105.633,560,265,0.1388,91,43,64,0.95,47.09313880656,36.9,62,11.7716535433071
133,"TW-13-176-1","TW","13","13-176",1,3,"Y",1,3904,54.5482747136031,4.73464034991308,11.9422449930135,0.382638598319901,5,7.27272727272727,5831.87752693086,0.6875,NA,NA,10,113.5882764,100,16,0.994,0.994,99.074,48.068,42.94,370,220,0.225,76,0,10,0.8,NA,NA,NA,NA
162,"TW-13-176-2","TW","13","13-176",2,2,"N",1,4690,75.8963576034524,8.75985137007194,12.2500217114976,0.543852099031368,29.5,25.4545454545455,11962.6251555039,2.0625,NA,NA,10,113.5882764,100,16,0.998,0.997,142.199,142.177,126.661,520,258,0.1412,76,12,47,0,NA,NA,NA,NA
142,"TW-13-94-1","TW","13","13-94",1,5,"N",3,6457,31.3174643287938,4.4636200430938,8.92629028222247,0.580066040278054,10,14.5454545454545,24184.6058273408,0.6875,4.24,0.453448275862069,10.6,113.5882764,100,16,1,0.997,147.474,82.711,75.933,215,137.5,0.1425,80,0,20,0.1,58,31.7,60.4,11.3779527559055
141,"TW-13-94-2","TW","13","13-94",2,2,"N",1,5145,95.136891634534,10.0389933327622,10.7609396051784,0.527135288059438,39.5,21.0909090909091,13953.8113886036,2.0625,4.24,0.453448275862069,10.6,113.5882764,100,15.938,0.992,0.98,132.363,132.356,119.497,626,306,0.1525,80,25,54,0,58,31.7,60.4,11.3779527559055
276,"TW-13-94-3","TW","13","13-94",3,2,"N",1,5266,94.5282481128506,9.02550065403577,11.6357104951627,0.537622310524438,68.5,16.7272727272727,14908.6731133094,3.4375,4.24,0.453448275862069,10.6,113.5882764,100,15.938,0.991,0.986,136.757,136.737,122.485,629,282,0.155,80,57,80,0,58,31.7,60.4,11.3779527559055
116,"TW-14-189-1","TW","14","14-189",1,3,"N",2,2747,49.7623402872451,3.13453480240164,11.2481951135827,0.544297896455721,6,8.72727272727273,4107.27682533594,0.6875,3.3,0.472131147540984,13.4,104.9984082,80,16.031,1.01,1.007,144.453,77.817,69.949,352,182.5,0.265,87,0,12,0.75,61,32.2,65.7,14.3307086614173
115,"TW-14-189-2","TW","14","14-189",2,3,"N",1,4319,54.1338334995015,6.15563738340975,12.8318989795785,0.51211133621171,27,18.9090909090909,9552.80247108389,2.0625,3.3,0.472131147540984,13.4,104.9984082,80,16,1.003,1,135.675,86.137,76.341,375,225,0.1738,87,14,40,0.85,61,32.2,65.7,14.3307086614173
