[SAMPLE PARAMETERS]
Time/Date of Scan,          01-May-2018   12:54:01
Study ID,                   TW
Sample ID,                  TW-15-76-45
File Name,                  TW-15-76-45
Species,                    PIPO
Operator,                   DV
Description,                Broken near bark
First Ring Year,               2017
First Ring Type,                EW
Is pith present,               Yes
No. pith rings missing,           0
Is sample extracted,           Yes
Sample moisture content,       6.00
Target Ring Count,              100
Measured Ring Count,             88
Step Size,                        1
Sample Length,               175.00
Measured Length,             162.62
Sample Thickness,              2.23
Late Wood Method,           Threshold
Late Wood Threshold,         450.00
Late Wood Deadband,           25.00
Target Density,              430.70
Actual Density,              430.12
Early Wood Maximum Density,  449.96
Pos of EW Max Density,         0.00
Early Wood Minimum Density,   12.28
Pos of EW Min Density,       139.68
Late Wood Maximum Density,   983.33
Pos of LW Max Density,         0.00
Late Wood Minimum Density,   450.06
Pos of LW Min Density,        33.92
Avg % Late Wood in Sample,    27.49
Zero voltage,                  0.0375
Free air voltage,              6.6245
Mass Absorption Coefficient,   2.797431
Number of scanned data points,  17491
Number of used data points,     15930
[SAMPLE DATA]
  139,   8.620, 301.56, 87,E, 5.4861
  140,   8.630, 349.05, 87,E, 5.3256
  141,   8.640, 339.92, 87,E, 5.3561
  142,   8.650, 350.06, 87,E, 5.3223
  143,   8.660, 335.00, 87,E, 5.3726
  144,   8.670, 319.36, 87,E, 5.4254
  145,   8.680, 325.76, 86,E, 5.4037
  146,   8.690, 335.27, 86,E, 5.3717
  147,   8.700, 342.01, 86,E, 5.3491
  148,   8.710, 362.40, 86,E, 5.2814
  149,   8.720, 351.44, 86,E, 5.3177
  150,   8.730, 389.33, 86,E, 5.1932
  151,   8.740, 443.53, 86,E, 5.0201
  152,   8.750, 546.64, 86,L, 4.7067
  153,   8.760, 743.96, 86,L, 4.1605
  154,   8.770, 870.37, 86,L, 3.8443
  155,   8.780, 927.36, 86,L, 3.7097
  156,   8.790, 930.00, 86,L, 3.7036
  157,   8.800, 923.68, 86,L, 3.7183
  158,   8.810, 942.17, 86,L, 3.6755
  159,   8.820, 915.83, 86,L, 3.7366
  160,   8.830, 910.74, 86,L, 3.7485
  161,   8.840, 922.50, 86,L, 3.7210
  162,   8.850, 891.84, 86,L, 3.7930
  163,   8.860, 923.68, 86,L, 3.7183
  164,   8.870, 917.79, 86,L, 3.7320
  165,   8.880, 908.92, 86,L, 3.7527
  166,   8.890, 910.74, 86,L, 3.7485
  167,   8.900, 902.43, 86,L, 3.7680
  168,   8.910, 898.68, 86,L, 3.7769
  169,   8.920, 920.01, 86,L, 3.7268
  170,   8.930, 871.00, 86,L, 3.8428
  171,   8.940, 884.14, 86,L, 3.8113
  172,   8.950, 858.48, 86,L, 3.8730
  173,   8.960, 840.68, 86,L, 3.9163
  174,   8.970, 849.93, 86,L, 3.8937
  175,   8.980, 841.43, 86,L, 3.9145
  176,   8.990, 833.47, 86,L, 3.9340
