"density"	"ring"	"newring"	"mm"	"cutoff"	"newEorL"	"boundary1"	"boundary2"
540.13	1	1	1.60999999999999	554.838	"LW"	0.76	"1.83"
549.86	1	1	1.61999999999999	554.838	"LW"	0.76	"1.83"
564.86	1	1	1.63	554.838	"LW"	0.76	"1.83"
559.65	1	1	1.64	554.838	"LW"	0.76	"1.83"
532.54	1	1	1.64999999999999	554.838	"LW"	0.76	"1.83"
518.68	1	1	1.66000000000001	554.838	"LW"	0.76	"1.83"
514.46	1	1	1.67	554.838	"LW"	0.76	"1.83"
522.91	1	1	1.67999999999999	554.838	"LW"	0.76	"1.83"
545.18	1	1	1.69000000000001	554.838	"LW"	0.76	"1.83"
532.82	1	1	1.7	554.838	"LW"	0.76	"1.83"
541.75	1	1	1.70999999999999	554.838	"LW"	0.76	"1.83"
546.61	1	1	1.71999999999998	554.838	"LW"	0.76	"1.83"
550.05	1	1	1.73	554.838	"LW"	0.76	"1.83"
543.65	1	1	1.73999999999999	554.838	"LW"	0.76	"1.83"
566.6	1	1	1.74999999999998	554.838	"LW"	0.76	"1.83"
547.37	1	1	1.76	554.838	"LW"	0.76	"1.83"
550.34	1	1	1.76999999999999	554.838	"LW"	0.76	"1.83"
522.44	1	1	1.77999999999998	554.838	"LW"	0.76	"1.83"
541.56	1	1	1.79	554.838	"LW"	0.76	"1.83"
536.52	1	1	1.79999999999999	554.838	"LW"	0.76	"1.83"
537.85	1	1	1.80999999999998	554.838	"LW"	0.76	"1.83"
557.15	1	1	1.82	554.838	"LW"	0.76	"1.83"
571.54	1	1	1.82999999999999	554.838	"LW"	0.76	"1.83"
533.86	1	2	1.83999999999998	554.838	"EW"	3.91	"4.15"
519.62	1	2	1.85	554.838	"EW"	3.91	"4.15"
549.1	1	2	1.85999999999999	554.838	"EW"	3.91	"4.15"
545.27	1	2	1.86999999999999	554.838	"EW"	3.91	"4.15"
550.44	1	2	1.88	554.838	"EW"	3.91	"4.15"
527.9	1	2	1.89	554.838	"EW"	3.91	"4.15"
533.86	1	2	1.89999999999999	554.838	"EW"	3.91	"4.15"
513.81	1	2	1.91000000000001	554.838	"EW"	3.91	"4.15"
546.04	1	2	1.92	554.838	"EW"	3.91	"4.15"
532.73	1	2	1.92999999999999	554.838	"EW"	3.91	"4.15"
528.28	1	2	1.94000000000001	554.838	"EW"	3.91	"4.15"
553.6	1	2	1.95	554.838	"EW"	3.91	"4.15"
520.28	1	2	1.95999999999999	554.838	"EW"	3.91	"4.15"
521.69	1	2	1.96999999999998	554.838	"EW"	3.91	"4.15"
514.46	1	2	1.98	554.838	"EW"	3.91	"4.15"
506.43	1	2	1.98999999999999	554.838	"EW"	3.91	"4.15"
536.23	1	2	1.99999999999998	554.838	"EW"	3.91	"4.15"
500.39	1	2	2.01	554.838	"EW"	3.91	"4.15"
515.31	1	2	2.01999999999999	554.838	"EW"	3.91	"4.15"
519.34	1	2	2.02999999999998	554.838	"EW"	3.91	"4.15"
543.56	1	2	2.04	554.838	"EW"	3.91	"4.15"
540.7	1	2	2.04999999999999	554.838	"EW"	3.91	"4.15"
528.09	1	2	2.05999999999998	554.838	"EW"	3.91	"4.15"
528	1	2	2.07	554.838	"EW"	3.91	"4.15"
522.44	1	2	2.07999999999999	554.838	"EW"	3.91	"4.15"
524.04	1	2	2.08999999999998	554.838	"EW"	3.91	"4.15"
520.18	1	2	2.1	554.838	"EW"	3.91	"4.15"
523.94	1	2	2.10999999999999	554.838	"EW"	3.91	"4.15"
540.51	1	2	2.11999999999999	554.838	"EW"	3.91	"4.15"
519.06	1	2	2.13	554.838	"EW"	3.91	"4.15"
508.48	1	2	2.14	554.838	"EW"	3.91	"4.15"
529.13	1	2	2.14999999999999	554.838	"EW"	3.91	"4.15"
518.21	1	2	2.16000000000001	554.838	"EW"	3.91	"4.15"
518.96	1	2	2.17	554.838	"EW"	3.91	"4.15"
521.4	1	2	2.17999999999999	554.838	"EW"	3.91	"4.15"
533.01	1	2	2.19000000000001	554.838	"EW"	3.91	"4.15"
519.99	1	2	2.2	554.838	"EW"	3.91	"4.15"
523.19	1	2	2.20999999999999	554.838	"EW"	3.91	"4.15"
515.59	1	2	2.21999999999998	554.838	"EW"	3.91	"4.15"
521.4	1	2	2.23	554.838	"EW"	3.91	"4.15"
528.57	1	2	2.23999999999999	554.838	"EW"	3.91	"4.15"
518.4	1	2	2.24999999999998	554.838	"EW"	3.91	"4.15"
529.79	1	2	2.26	554.838	"EW"	3.91	"4.15"
514.56	1	2	2.26999999999999	554.838	"EW"	3.91	"4.15"
524.13	1	2	2.27999999999998	554.838	"EW"	3.91	"4.15"
544.13	1	2	2.29	554.838	"EW"	3.91	"4.15"
536.04	1	2	2.29999999999999	554.838	"EW"	3.91	"4.15"
524.04	1	2	2.30999999999998	554.838	"EW"	3.91	"4.15"
544.03	1	2	2.32	554.838	"EW"	3.91	"4.15"
537.37	1	2	2.32999999999999	554.838	"EW"	3.91	"4.15"
529.6	1	2	2.33999999999998	554.838	"EW"	3.91	"4.15"
537.09	1	2	2.35	554.838	"EW"	3.91	"4.15"
521.5	1	2	2.35999999999999	554.838	"EW"	3.91	"4.15"
513.71	1	2	2.36999999999999	554.838	"EW"	3.91	"4.15"
518.02	1	2	2.38	554.838	"EW"	3.91	"4.15"
515.21	1	2	2.39	554.838	"EW"	3.91	"4.15"
507.55	1	2	2.39999999999999	554.838	"EW"	3.91	"4.15"
522.63	1	2	2.41000000000001	554.838	"EW"	3.91	"4.15"
515.59	1	2	2.42	554.838	"EW"	3.91	"4.15"
490.31	1	2	2.42999999999999	554.838	"EW"	3.91	"4.15"
521.12	1	2	2.44000000000001	554.838	"EW"	3.91	"4.15"
490.4	1	2	2.45	554.838	"EW"	3.91	"4.15"
512.69	1	2	2.45999999999999	554.838	"EW"	3.91	"4.15"
508.58	1	2	2.46999999999998	554.838	"EW"	3.91	"4.15"
493.45	1	2	2.48	554.838	"EW"	3.91	"4.15"
484.05	1	2	2.48999999999999	554.838	"EW"	3.91	"4.15"
534.81	1	2	2.49999999999998	554.838	"EW"	3.91	"4.15"
528.57	1	2	2.51	554.838	"EW"	3.91	"4.15"
498.63	1	2	2.51999999999999	554.838	"EW"	3.91	"4.15"
497.24	1	2	2.52999999999998	554.838	"EW"	3.91	"4.15"
508.48	1	2	2.54	554.838	"EW"	3.91	"4.15"
480.48	1	2	2.54999999999999	554.838	"EW"	3.91	"4.15"
500.02	1	2	2.55999999999998	554.838	"EW"	3.91	"4.15"
524.32	1	2	2.57	554.838	"EW"	3.91	"4.15"
516.71	1	2	2.57999999999999	554.838	"EW"	3.91	"4.15"
524.6	1	2	2.58999999999998	554.838	"EW"	3.91	"4.15"
488.38	1	2	2.6	554.838	"EW"	3.91	"4.15"
478.83	1	2	2.60999999999999	554.838	"EW"	3.91	"4.15"
494.74	1	2	2.61999999999999	554.838	"EW"	3.91	"4.15"
489.94	1	2	2.63	554.838	"EW"	3.91	"4.15"
501.97	1	2	2.64	554.838	"EW"	3.91	"4.15"
490.77	1	2	2.64999999999999	554.838	"EW"	3.91	"4.15"
490.4	1	2	2.66000000000001	554.838	"EW"	3.91	"4.15"
494.83	1	2	2.67	554.838	"EW"	3.91	"4.15"
455.3	1	2	2.67999999999999	554.838	"EW"	3.91	"4.15"
506.43	1	2	2.69000000000001	554.838	"EW"	3.91	"4.15"
477.73	1	2	2.7	554.838	"EW"	3.91	"4.15"
490.77	1	2	2.70999999999999	554.838	"EW"	3.91	"4.15"
473.53	1	2	2.71999999999998	554.838	"EW"	3.91	"4.15"
487.64	1	2	2.73	554.838	"EW"	3.91	"4.15"
471.25	1	2	2.73999999999999	554.838	"EW"	3.91	"4.15"
479.74	1	2	2.74999999999998	554.838	"EW"	3.91	"4.15"
495.85	1	2	2.76	554.838	"EW"	3.91	"4.15"
485.34	1	2	2.76999999999999	554.838	"EW"	3.91	"4.15"
476.45	1	2	2.77999999999998	554.838	"EW"	3.91	"4.15"
472.25	1	2	2.79	554.838	"EW"	3.91	"4.15"
478.65	1	2	2.79999999999999	554.838	"EW"	3.91	"4.15"
488.84	1	2	2.80999999999998	554.838	"EW"	3.91	"4.15"
487.64	1	2	2.82	554.838	"EW"	3.91	"4.15"
487.27	1	2	2.82999999999999	554.838	"EW"	3.91	"4.15"
456.56	1	2	2.83999999999998	554.838	"EW"	3.91	"4.15"
474.44	1	2	2.85	554.838	"EW"	3.91	"4.15"
472.62	1	2	2.85999999999999	554.838	"EW"	3.91	"4.15"
468.61	1	2	2.86999999999999	554.838	"EW"	3.91	"4.15"
477	1	2	2.88	554.838	"EW"	3.91	"4.15"
482.22	1	2	2.89	554.838	"EW"	3.91	"4.15"
488.93	1	2	2.89999999999999	554.838	"EW"	3.91	"4.15"
471.25	1	2	2.91000000000001	554.838	"EW"	3.91	"4.15"
436.56	1	2	2.92	554.838	"EW"	3.91	"4.15"
433.98	1	2	2.92999999999999	554.838	"EW"	3.91	"4.15"
445.23	1	2	2.94000000000001	554.838	"EW"	3.91	"4.15"
422.72	1	2	2.95	554.838	"EW"	3.91	"4.15"
433.44	1	2	2.95999999999999	554.838	"EW"	3.91	"4.15"
447.65	1	2	2.96999999999998	554.838	"EW"	3.91	"4.15"
450.62	1	2	2.98	554.838	"EW"	3.91	"4.15"
465.98	1	2	2.98999999999999	554.838	"EW"	3.91	"4.15"
451.69	1	2	2.99999999999998	554.838	"EW"	3.91	"4.15"
447.56	1	2	3.01	554.838	"EW"	3.91	"4.15"
453.59	1	2	3.01999999999999	554.838	"EW"	3.91	"4.15"
