[SAMPLE PARAMETERS]
Time/Date of Scan,          28-Feb-2018   16:16:19
Study ID,                   WQA
Sample ID,                  TW-1-44-2
File Name,                  TW-1-44-2
Species,                    PIPO
Operator,                   DV
Description,                
First Ring Year,               2016
First Ring Type,                EW
Is pith present,               Yes
No. pith rings missing,           0
Is sample extracted,           Yes
  162,   4.970, 351.16, 87,E, 5.9103
  163,   4.980, 366.19, 87,E, 5.8517
  164,   4.990, 321.45, 87,E, 6.0278
  165,   5.000, 269.34, 87,E, 6.2396
  166,   5.010, 272.37, 87,E, 6.2271
  167,   5.020, 354.82, 87,E, 5.8960
  168,   5.030, 354.43, 87,E, 5.8975
  169,   5.040, 302.85, 87,E, 6.1026
  170,   5.050, 289.47, 87,E, 6.1569
  171,   5.060, 358.34, 87,E, 5.8823
  172,   5.070, 415.39, 87,E, 5.6641
  173,   5.080, 451.93, 86,L, 5.5286
  174,   5.090, 500.00, 86,L, 5.3552
  175,   5.100, 588.46, 86,L, 5.0504
  176,   5.110, 744.43, 86,L, 4.5544
  177,   5.120, 864.13, 86,L, 4.2072
  178,   5.130, 913.42, 86,L, 4.0720
  179,   5.140, 907.44, 86,L, 4.0881
  180,   5.150, 906.31, 86,L, 4.0912
  181,   5.160, 913.19, 86,L, 4.0726
  182,   5.170, 889.74, 86,L, 4.1364
  183,   5.180, 889.18, 86,L, 4.1379
  184,   5.190, 870.93, 86,L, 4.1882
  185,   5.200, 844.23, 86,L, 4.2630
  186,   5.210, 828.32, 86,L, 4.3082
  187,   5.220, 797.22, 86,L, 4.3979
  188,   5.230, 772.09, 86,L, 4.4717
  189,   5.240, 773.12, 86,L, 4.4687
  190,   5.250, 720.65, 86,L, 4.6268
  191,   5.260, 702.35, 86,L, 4.6832
  192,   5.270, 660.84, 86,L, 4.8138
  193,   5.280, 679.51, 86,L, 4.7546
  194,   5.290, 668.51, 86,L, 4.7894
  195,   5.300, 686.02, 86,L, 4.7342
  196,   5.310, 659.21, 86,L, 4.8190
  197,   5.320, 646.93, 86,L, 4.8584
  198,   5.330, 664.38, 86,L, 4.8026
  199,   5.340, 635.22, 86,L, 4.8962
  200,   5.350, 598.52, 86,L, 5.0168
  201,   5.360, 607.54, 86,L, 4.9869
  202,   5.370, 596.50, 86,L, 5.0235
  203,   5.380, 604.87, 86,L, 4.9957
  204,   5.390, 606.99, 86,L, 4.9887
  205,   5.400, 602.75, 86,L, 5.0027
  206,   5.410, 579.27, 86,L, 5.0812
  207,   5.420, 563.32, 86,L, 5.1352
  208,   5.430, 526.90, 86,L, 5.2606
  209,   5.440, 498.71, 86,L, 5.3598
  210,   5.450, 482.98, 86,L, 5.4160
  211,   5.460, 460.70, 86,L, 5.4965
  212,   5.470, 465.90, 86,L, 5.4776
  213,   5.480, 425.67, 86,L, 5.6256
  214,   5.490, 442.38, 86,L, 5.5637
  215,   5.500, 408.25, 86,E, 5.6909
  216,   5.510, 423.21, 86,E, 5.6348
  217,   5.520, 428.29, 86,L, 5.6158
  218,   5.530, 403.40, 86,E, 5.7092
  219,   5.540, 448.02, 86,L, 5.5429
  220,   5.550, 405.26, 86,E, 5.7022
  221,   5.560, 394.23, 86,E, 5.7440
  222,   5.570, 379.71, 86,E, 5.7996
  223,   5.580, 403.89, 86,E, 5.7074
  224,   5.590, 398.89, 86,E, 5.7263
  225,   5.600, 369.97, 86,E, 5.8371
  226,   5.610, 358.50, 86,E, 5.8817
  227,   5.620, 372.58, 86,E, 5.8270
  228,   5.630, 371.79, 86,E, 5.8301
  229,   5.640, 353.96, 86,E, 5.8994
  230,   5.650, 317.56, 86,E, 6.0434
  231,   5.660, 369.26, 86,E, 5.8398
  232,   5.670, 366.82, 86,E, 5.8493
  233,   5.680, 335.27, 86,E, 5.9729
  234,   5.690, 339.90, 86,E, 5.9546
  235,   5.700, 353.89, 86,E, 5.8997
  236,   5.710, 343.69, 86,E, 5.9396
  237,   5.720, 324.05, 86,E, 6.0175
  238,   5.730, 316.34, 86,E, 6.0483
  239,   5.740, 347.19, 86,E, 5.9259
  240,   5.750, 350.53, 86,E, 5.9128
  241,   5.760, 330.72, 86,E, 5.9909
  242,   5.770, 309.35, 86,E, 6.0764
  243,   5.780, 288.43, 86,E, 6.1612
  244,   5.790, 296.97, 86,E, 6.1264
  245,   5.800, 316.49, 86,E, 6.0477
  246,   5.810, 316.49, 86,E, 6.0477
  247,   5.820, 314.74, 86,E, 6.0547
  248,   5.830, 301.64, 86,E, 6.1075
  249,   5.840, 279.93, 86,E, 6.1960
  250,   5.850, 280.67, 86,E, 6.1929
  251,   5.860, 294.42, 86,E, 6.1368
  252,   5.870, 320.38, 86,E, 6.0321
  253,   5.880, 280.75, 86,E, 6.1926
  254,   5.890, 285.51, 86,E, 6.1731
  255,   5.900, 278.52, 86,E, 6.2018
  256,   5.910, 335.27, 86,E, 5.9729
  257,   5.920, 320.99, 86,E, 6.0297
  258,   5.930, 315.96, 86,E, 6.0498
  259,   5.940, 290.30, 86,E, 6.1536
  260,   5.950, 296.07, 86,E, 6.1301
  261,   5.960, 299.08, 86,E, 6.1179
  262,   5.970, 320.08, 86,E, 6.0333
  263,   5.980, 309.88, 86,E, 6.0742
  264,   5.990, 279.63, 86,E, 6.1972
  265,   6.000, 261.24, 86,E, 6.2732
  266,   6.010, 278.44, 86,E, 6.2021
  267,   6.020, 327.42, 86,E, 6.0040
  268,   6.030, 300.59, 86,E, 6.1118
  269,   6.040, 290.52, 86,E, 6.1526
  270,   6.050, 275.70, 86,E, 6.2134
  271,   6.060, 293.22, 86,E, 6.1417
  272,   6.070, 322.98, 86,E, 6.0217
  273,   6.080, 316.87, 86,E, 6.0461
  274,   6.090, 265.06, 86,E, 6.2573
  275,   6.100, 280.38, 86,E, 6.1942
  276,   6.110, 304.21, 86,E, 6.0971
  277,   6.120, 297.95, 86,E, 6.1224
  278,   6.130, 291.20, 86,E, 6.1499
  279,   6.140, 294.64, 86,E, 6.1359
  280,   6.150, 297.27, 86,E, 6.1252
  281,   6.160, 302.39, 86,E, 6.1044
  282,   6.170, 301.72, 86,E, 6.1072
  283,   6.180, 296.52, 86,E, 6.1282
  284,   6.190, 305.57, 86,E, 6.0916
  285,   6.200, 303.53, 86,E, 6.0999
  286,   6.210, 310.34, 86,E, 6.0724
  287,   6.220, 274.51, 86,E, 6.2183
  288,   6.230, 293.14, 86,E, 6.1420
  289,   6.240, 296.45, 86,E, 6.1285
  290,   6.250, 294.87, 86,E, 6.1349
  291,   6.260, 307.61, 86,E, 6.0834
  292,   6.270, 294.94, 86,E, 6.1346
  293,   6.280, 283.43, 86,E, 6.1816
  294,   6.290, 285.74, 86,E, 6.1722
  295,   6.300, 276.14, 86,E, 6.2115
  296,   6.310, 273.99, 86,E, 6.2204
  297,   6.320, 296.45, 86,E, 6.1285
  298,   6.330, 302.24, 86,E, 6.1050
  299,   6.340, 264.55, 86,E, 6.2595
  300,   6.350, 276.81, 86,E, 6.2088
  301,   6.360, 296.30, 86,E, 6.1292
  302,   6.370, 316.72, 86,E, 6.0468
  303,   6.380, 306.70, 86,E, 6.0870
  304,   6.390, 296.00, 86,E, 6.1304
  305,   6.400, 281.86, 86,E, 6.1880
  306,   6.410, 315.58, 86,E, 6.0513
  307,   6.420, 330.42, 86,E, 5.9921
  308,   6.430, 309.65, 86,E, 6.0751
  309,   6.440, 298.48, 86,E, 6.1203
  310,   6.450, 366.43, 86,E, 5.8508
  311,   6.460, 412.14, 86,E, 5.6763
  312,   6.470, 436.35, 85,L, 5.5859
  313,   6.480, 475.10, 85,L, 5.4443
  314,   6.490, 498.71, 85,L, 5.3598
  315,   6.500, 527.25, 85,L, 5.2594
  316,   6.510, 564.39, 85,L, 5.1315
  317,   6.520, 591.56, 85,L, 5.0400
  318,   6.530, 645.80, 85,L, 4.8621
  319,   6.540, 701.56, 85,L, 4.6857
  320,   6.550, 740.39, 85,L, 4.5667
  321,   6.560, 769.62, 85,L, 4.4791
  322,   6.570, 783.66, 85,L, 4.4376
  323,   6.580, 784.08, 85,L, 4.4363
  324,   6.590, 797.64, 85,L, 4.3967
  325,   6.600, 775.28, 85,L, 4.4623
  326,   6.610, 755.80, 85,L, 4.5203
  327,   6.620, 755.90, 85,L, 4.5200
  328,   6.630, 759.37, 85,L, 4.5096
  329,   6.640, 749.49, 85,L, 4.5392
  330,   6.650, 721.55, 85,L, 4.6240
  331,   6.660, 689.23, 85,L, 4.7241
  332,   6.670, 680.00, 85,L, 4.7531
  333,   6.680, 682.71, 85,L, 4.7446
  334,   6.690, 663.81, 85,L, 4.8044
  335,   6.700, 663.13, 85,L, 4.8065
  336,   6.710, 639.18, 85,L, 4.8834
  337,   6.720, 615.04, 85,L, 4.9622
  338,   6.730, 601.74, 85,L, 5.0061
  339,   6.740, 604.59, 85,L, 4.9966
  340,   6.750, 591.29, 85,L, 5.0409
  341,   6.760, 579.55, 85,L, 5.0803
  342,   6.770, 585.27, 85,L, 5.0610
  343,   6.780, 592.20, 85,L, 5.0378
  344,   6.790, 594.76, 85,L, 5.0293
  345,   6.800, 610.04, 85,L, 4.9786
  346,   6.810, 638.90, 85,L, 4.8843
  347,   6.820, 672.36, 85,L, 4.7772
  348,   6.830, 689.13, 85,L, 4.7244
  349,   6.840, 704.61, 85,L, 4.6762
