[SAMPLE PARAMETERS]
Time/Date of Scan,          12-Mar-2018   15:36:19
Study ID,                   WQA
Sample ID,                  TW-18-67-4
File Name,                  TW-18-67-4
Species,                    PIPO
Operator,                   DV
Description,                
First Ring Year,               2016
First Ring Type,                EW
Is pith present,               Yes
No. pith rings missing,           0
Is sample extracted,           Yes
  164,   7.600, 333.10, 59,E, 5.7129
  165,   7.610, 319.56, 59,E, 5.7651
  166,   7.620, 328.66, 59,E, 5.7300
  167,   7.630, 323.19, 59,E, 5.7510
  168,   7.640, 344.21, 59,E, 5.6705
  169,   7.650, 335.18, 59,E, 5.7050
  170,   7.660, 319.72, 59,E, 5.7645
  171,   7.670, 336.45, 59,E, 5.7001
  172,   7.680, 337.89, 59,E, 5.6946
  173,   7.690, 310.75, 59,E, 5.7993
  174,   7.700, 328.10, 59,E, 5.7321
  175,   7.710, 320.11, 59,E, 5.7629
  176,   7.720, 355.07, 59,E, 5.6293
  177,   7.730, 352.81, 59,E, 5.6378
  178,   7.740, 357.66, 59,E, 5.6195
  179,   7.750, 347.10, 59,E, 5.6595
  180,   7.760, 370.82, 59,E, 5.5701
  181,   7.770, 372.78, 59,E, 5.5627
  182,   7.780, 365.69, 59,E, 5.5893
  183,   7.790, 363.25, 59,E, 5.5984
  184,   7.800, 349.03, 59,E, 5.6522
  185,   7.810, 335.81, 59,E, 5.7025
  186,   7.820, 324.30, 59,E, 5.7468
  187,   7.830, 371.88, 59,E, 5.5661
  188,   7.840, 341.96, 59,E, 5.6790
  189,   7.850, 315.94, 59,E, 5.7791
  190,   7.860, 315.31, 59,E, 5.7816
  191,   7.870, 350.07, 59,E, 5.6482
  192,   7.880, 328.97, 59,E, 5.7288
  193,   7.890, 300.36, 59,E, 5.8398
  194,   7.900, 327.07, 59,E, 5.7361
  195,   7.910, 355.15, 59,E, 5.6290
  196,   7.920, 342.68, 59,E, 5.6763
  197,   7.930, 339.24, 59,E, 5.6894
  198,   7.940, 309.42, 59,E, 5.8044
  199,   7.950, 322.40, 59,E, 5.7541
  200,   7.960, 324.61, 59,E, 5.7455
  201,   7.970, 315.94, 59,E, 5.7791
  202,   7.980, 314.68, 59,E, 5.7840
  203,   7.990, 310.99, 59,E, 5.7983
  204,   8.000, 312.40, 59,E, 5.7928
  205,   8.010, 325.80, 59,E, 5.7410
  206,   8.020, 325.64, 59,E, 5.7416
  207,   8.030, 318.77, 59,E, 5.7681
  208,   8.040, 320.74, 59,E, 5.7605
  209,   8.050, 320.74, 59,E, 5.7605
  210,   8.060, 323.98, 59,E, 5.7480
  211,   8.070, 310.75, 59,E, 5.7993
  212,   8.080, 304.26, 59,E, 5.8246
  213,   8.090, 298.89, 59,E, 5.8456
  214,   8.100, 301.30, 59,E, 5.8362
  215,   8.110, 308.09, 59,E, 5.8096
  216,   8.120, 295.47, 59,E, 5.8591
  217,   8.130, 292.14, 59,E, 5.8722
  218,   8.140, 303.33, 59,E, 5.8282
  219,   8.150, 301.61, 59,E, 5.8350
  220,   8.160, 308.40, 59,E, 5.8084
  221,   8.170, 292.37, 59,E, 5.8713
  222,   8.180, 289.66, 59,E, 5.8820
  223,   8.190, 295.86, 59,E, 5.8575
  224,   8.200, 283.18, 59,E, 5.9076
  225,   8.210, 307.15, 59,E, 5.8133
  226,   8.220, 290.36, 59,E, 5.8792
  227,   8.230, 297.49, 59,E, 5.8511
  228,   8.240, 282.26, 59,E, 5.9113
  229,   8.250, 294.38, 59,E, 5.8633
  230,   8.260, 298.11, 59,E, 5.8487
  231,   8.270, 281.64, 59,E, 5.9137
  232,   8.280, 275.97, 59,E, 5.9363
  233,   8.290, 294.23, 59,E, 5.8640
  234,   8.300, 302.62, 59,E, 5.8310
  235,   8.310, 302.16, 59,E, 5.8328
  236,   8.320, 302.16, 59,E, 5.8328
  237,   8.330, 276.66, 59,E, 5.9335
  238,   8.340, 267.19, 59,E, 5.9714
  239,   8.350, 274.21, 59,E, 5.9433
  240,   8.360, 307.23, 59,E, 5.8130
  241,   8.370, 300.13, 59,E, 5.8408
  242,   8.380, 282.34, 59,E, 5.9109
  243,   8.390, 268.10, 59,E, 5.9677
  244,   8.400, 282.34, 59,E, 5.9109
  245,   8.410, 296.94, 59,E, 5.8533
  246,   8.420, 284.72, 59,E, 5.9015
  247,   8.430, 266.35, 59,E, 5.9747
  248,   8.440, 288.58, 59,E, 5.8862
  249,   8.450, 279.11, 59,E, 5.9238
  250,   8.460, 274.59, 59,E, 5.9418
  251,   8.470, 263.54, 59,E, 5.9860
  252,   8.480, 268.63, 59,E, 5.9656
  253,   8.490, 300.05, 59,E, 5.8411
  254,   8.500, 275.28, 59,E, 5.9390
  255,   8.510, 301.69, 59,E, 5.8347
  256,   8.520, 302.16, 59,E, 5.8328
  257,   8.530, 282.72, 59,E, 5.9094
  258,   8.540, 270.84, 59,E, 5.9567
  259,   8.550, 297.95, 59,E, 5.8493
  260,   8.560, 306.84, 59,E, 5.8145
  261,   8.570, 270.08, 59,E, 5.9598
  262,   8.580, 263.84, 59,E, 5.9848
  263,   8.590, 287.03, 59,E, 5.8923
  264,   8.600, 301.92, 59,E, 5.8337
  265,   8.610, 284.88, 59,E, 5.9009
  266,   8.620, 268.86, 59,E, 5.9647
  267,   8.630, 262.70, 59,E, 5.9894
  268,   8.640, 279.95, 59,E, 5.9204
  269,   8.650, 307.54, 59,E, 5.8118
  270,   8.660, 292.83, 59,E, 5.8694
  271,   8.670, 294.77, 59,E, 5.8618
  272,   8.680, 282.95, 59,E, 5.9085
  273,   8.690, 289.58, 59,E, 5.8823
  274,   8.700, 272.45, 59,E, 5.9503
  275,   8.710, 287.19, 59,E, 5.8917
  276,   8.720, 282.80, 59,E, 5.9091
  277,   8.730, 280.88, 59,E, 5.9167
  278,   8.740, 265.59, 59,E, 5.9778
  279,   8.750, 262.93, 59,E, 5.9885
  280,   8.760, 286.96, 59,E, 5.8926
  281,   8.770, 288.19, 59,E, 5.8878
  282,   8.780, 263.23, 59,E, 5.9872
  283,   8.790, 263.76, 59,E, 5.9851
  284,   8.800, 268.48, 59,E, 5.9662
  285,   8.810, 281.72, 59,E, 5.9134
  286,   8.820, 299.82, 59,E, 5.8420
  287,   8.830, 283.41, 59,E, 5.9067
  288,   8.840, 255.51, 59,E, 6.0184
  289,   8.850, 257.55, 59,E, 6.0101
  290,   8.860, 272.07, 59,E, 5.9518
  291,   8.870, 280.18, 59,E, 5.9195
  292,   8.880, 265.05, 59,E, 5.9799
  293,   8.890, 263.31, 59,E, 5.9869
  294,   8.900, 270.92, 59,E, 5.9564
  295,   8.910, 289.66, 59,E, 5.8820
  296,   8.920, 269.55, 59,E, 5.9619
  297,   8.930, 283.72, 59,E, 5.9055
  298,   8.940, 295.00, 59,E, 5.8609
  299,   8.950, 282.41, 59,E, 5.9106
  300,   8.960, 274.82, 59,E, 5.9409
  301,   8.970, 271.15, 59,E, 5.9555
  302,   8.980, 282.57, 59,E, 5.9100
  303,   8.990, 276.12, 59,E, 5.9357
  304,   9.000, 285.72, 59,E, 5.8975
  305,   9.010, 280.11, 59,E, 5.9198
  306,   9.020, 287.34, 59,E, 5.8911
  307,   9.030, 293.92, 59,E, 5.8652
  308,   9.040, 295.55, 59,E, 5.8588
  309,   9.050, 263.38, 59,E, 5.9866
  310,   9.060, 263.99, 59,E, 5.9842
  311,   9.070, 301.22, 59,E, 5.8365
  312,   9.080, 310.05, 59,E, 5.8020
  313,   9.090, 281.34, 59,E, 5.9149
  314,   9.100, 266.12, 59,E, 5.9756
  315,   9.110, 255.51, 59,E, 6.0184
  316,   9.120, 286.88, 59,E, 5.8929
  317,   9.130, 269.62, 59,E, 5.9616
  318,   9.140, 281.34, 59,E, 5.9149
  319,   9.150, 272.45, 59,E, 5.9503
  320,   9.160, 280.18, 59,E, 5.9195
  321,   9.170, 296.01, 59,E, 5.8569
  322,   9.180, 288.73, 59,E, 5.8856
  323,   9.190, 278.80, 59,E, 5.9250
  324,   9.200, 284.11, 59,E, 5.9039
  325,   9.210, 301.45, 59,E, 5.8356
  326,   9.220, 313.66, 59,E, 5.7880
  327,   9.230, 282.41, 59,E, 5.9106
  328,   9.240, 268.94, 59,E, 5.9644
  329,   9.250, 303.79, 59,E, 5.8264
  330,   9.260, 331.59, 59,E, 5.7187
  331,   9.270, 318.30, 59,E, 5.7700
  332,   9.280, 295.16, 59,E, 5.8603
  333,   9.290, 313.89, 59,E, 5.7870
  334,   9.300, 305.67, 59,E, 5.8191
  335,   9.310, 291.13, 59,E, 5.8762
  336,   9.320, 302.86, 59,E, 5.8301
  337,   9.330, 294.92, 59,E, 5.8612
  338,   9.340, 302.94, 59,E, 5.8298
  339,   9.350, 314.84, 59,E, 5.7834
  340,   9.360, 322.72, 59,E, 5.7529
  341,   9.370, 297.80, 59,E, 5.8499
  342,   9.380, 274.66, 59,E, 5.9415
  343,   9.390, 294.85, 59,E, 5.8615
  344,   9.400, 335.89, 59,E, 5.7022
  345,   9.410, 326.28, 59,E, 5.7391
  346,   9.420, 346.94, 59,E, 5.6601
  347,   9.430, 345.41, 59,E, 5.6659
  348,   9.440, 433.41, 59,L, 5.3409
  349,   9.450, 494.48, 58,L, 5.1263
  350,   9.460, 541.97, 58,L, 4.9655
  351,   9.470, 562.89, 58,L, 4.8962
  352,   9.480, 621.60, 58,L, 4.7070
  353,   9.490, 710.75, 58,L, 4.4336
  354,   9.500, 759.63, 58,L, 4.2905
  355,   9.510, 783.02, 58,L, 4.2236
  356,   9.520, 801.00, 58,L, 4.1730
  357,   9.530, 760.16, 58,L, 4.2889
  358,   9.540, 749.08, 58,L, 4.3210
  359,   9.550, 757.20, 58,L, 4.2975
  360,   9.560, 733.07, 58,L, 4.3677
  361,   9.570, 737.24, 58,L, 4.3555
  362,   9.580, 730.88, 58,L, 4.3741
  363,   9.590, 722.69, 58,L, 4.3982
  364,   9.600, 726.94, 58,L, 4.3857
  365,   9.610, 723.31, 58,L, 4.3964
  366,   9.620, 728.70, 58,L, 4.3805
  367,   9.630, 710.34, 58,L, 4.4348
  368,   9.640, 697.89, 58,L, 4.4720
  369,   9.650, 718.57, 58,L, 4.4104
  370,   9.660, 699.01, 58,L, 4.4687
  371,   9.670, 706.96, 58,L, 4.4449
  372,   9.680, 690.89, 58,L, 4.4931
  373,   9.690, 687.25, 58,L, 4.5041
  374,   9.700, 681.31, 58,L, 4.5221
  375,   9.710, 658.76, 58,L, 4.5911
  376,   9.720, 637.62, 58,L, 4.6567
  377,   9.730, 600.22, 58,L, 4.7751
  378,   9.740, 562.62, 58,L, 4.8972
  379,   9.750, 528.11, 58,L, 5.0119
  380,   9.760, 515.83, 58,L, 5.0534
  381,   9.770, 487.23, 58,L, 5.1514
  382,   9.780, 472.91, 58,L, 5.2011
  383,   9.790, 434.09, 58,L, 5.3384
  384,   9.800, 437.16, 58,L, 5.3275
  385,   9.810, 422.47, 58,E, 5.3802
  386,   9.820, 387.81, 58,E, 5.5069
  387,   9.830, 372.21, 58,E, 5.5649
  388,   9.840, 367.80, 58,E, 5.5814
  389,   9.850, 387.32, 58,E, 5.5087
  390,   9.860, 359.44, 58,E, 5.6128
  391,   9.870, 336.77, 58,E, 5.6989
  392,   9.880, 315.15, 58,E, 5.7822
  393,   9.890, 346.53, 58,E, 5.6616
  394,   9.900, 330.72, 58,E, 5.7220
  395,   9.910, 345.97, 58,E, 5.6638
  396,   9.920, 349.75, 58,E, 5.6494
  397,   9.930, 335.33, 58,E, 5.7043
  398,   9.940, 350.07, 58,E, 5.6482
  399,   9.950, 360.17, 58,E, 5.6100
  400,   9.960, 331.28, 58,E, 5.7199
  401,   9.970, 350.23, 58,E, 5.6476
  402,   9.980, 346.86, 58,E, 5.6604
  403,   9.990, 343.01, 58,E, 5.6750
  404,  10.000, 347.50, 58,E, 5.6580
  405,  10.010, 336.69, 58,E, 5.6992
  406,  10.020, 338.37, 58,E, 5.6927
  407,  10.030, 322.08, 58,E, 5.7553
  408,  10.040, 346.69, 58,E, 5.6610
  409,  10.050, 338.21, 58,E, 5.6934
  410,  10.060, 329.53, 58,E, 5.7266
  411,  10.070, 321.85, 58,E, 5.7562
  412,  10.080, 329.45, 58,E, 5.7269
  413,  10.090, 347.42, 58,E, 5.6583
  414,  10.100, 335.25, 58,E, 5.7047
  415,  10.110, 328.73, 58,E, 5.7297
  416,  10.120, 301.45, 58,E, 5.8356
  417,  10.130, 335.81, 58,E, 5.7025
  418,  10.140, 358.06, 58,E, 5.6180
  419,  10.150, 307.31, 58,E, 5.8127
  420,  10.160, 303.72, 58,E, 5.8267
  421,  10.170, 337.25, 58,E, 5.6970
  422,  10.180, 367.72, 58,E, 5.5817
  423,  10.190, 332.39, 58,E, 5.7156
  424,  10.200, 315.54, 58,E, 5.7806
  425,  10.210, 326.36, 58,E, 5.7388
  426,  10.220, 328.18, 58,E, 5.7318
  427,  10.230, 315.39, 58,E, 5.7813
  428,  10.240, 294.30, 58,E, 5.8636
  429,  10.250, 331.91, 58,E, 5.7175
  430,  10.260, 338.37, 58,E, 5.6927
  431,  10.270, 300.83, 58,E, 5.8380
  432,  10.280, 318.85, 58,E, 5.7678
  433,  10.290, 316.41, 58,E, 5.7773
  434,  10.300, 298.50, 58,E, 5.8472
  435,  10.310, 279.72, 58,E, 5.9213
  436,  10.320, 300.83, 58,E, 5.8380
  437,  10.330, 297.33, 58,E, 5.8517
  438,  10.340, 299.66, 58,E, 5.8426
  439,  10.350, 277.88, 58,E, 5.9286
  440,  10.360, 297.56, 58,E, 5.8508
  441,  10.370, 289.89, 58,E, 5.8810
  442,  10.380, 310.28, 58,E, 5.8011
  443,  10.390, 278.65, 58,E, 5.9256
  444,  10.400, 292.37, 58,E, 5.8713
  445,  10.410, 286.57, 58,E, 5.8942
  446,  10.420, 246.09, 58,E, 6.0565
  447,  10.430, 285.49, 58,E, 5.8984
  448,  10.440, 278.27, 58,E, 5.9271
  449,  10.450, 251.36, 58,E, 6.0352
  450,  10.460, 253.17, 58,E, 6.0278
